Date,"Sailing0720","Sailing0925","Sailing1130","Sailing1335","Sailing1550","Sailing1750","Sailing1950","Sailing2145"
10-10-2017,85,63,85,100,100,89,6,40
11-10-2017,69,61,50,100,100,100,58,13
12-10-2017,65,36,35,100,98,96,53,25
13-10-2017,64,33,49,88,100,100,86,30
14-10-2017,65,43,52,79,75,65,42,31
15-10-2017,31,23,34,82,84,83,46,22
16-10-2017,78,35,55,83,85,59,33,17
17-10-2017,57,55,32,14,100,74,33,28
18-10-2017,60,26,15,14,100,90,24,19
19-10-2017,64,35,70,95,100,97,58,25
20-10-2017,70,75,90,100,100,100,100,64
21-10-2017,60,90,67,77,91,67,46,23
22-10-2017,6,56,53,83,89,78,45,22
23-10-2017,73,59,66,82,75,64,32,20
24-10-2017,65,57,65,85,85,71,49,29
25-10-2017,65,64,38,62,74,60,35,19
26-10-2017,73,60,75,86,100,83,51,29
27-10-2017,67,61,82,100,100,100,100,51
28-10-2017,62,100,84,75,81,64,45,27
29-10-2017,31,52,48,81,84,79,51,23
30-10-2017,82,56,61,80,90,68,31,15
31-10-2017,63,52,60,73,80,5,34,20
01-11-2017,72,65,62,67,100,88,41,19
02-11-2017,80,53,60,87,87,68,47,18
03-11-2017,56,51,58,100,100,100,96,29
04-11-2017,65,79,59,67,68,56,39,22
05-11-2017,23,41,48,63,79,70,100,28
06-11-2017,79,58,68,74,74,53,38,15
07-11-2017,66,59,59,73,86,74,44,15
08-11-2017,59,59,66,73,88,58,34,19
09-11-2017,70,68,74,97,100,100,69,22
10-11-2017,78,100,100,100,100,100,100,100
11-11-2017,88,100,96,89,75,56,36,17
12-11-2017,22,44,45,73,73,60,39,19
13-11-2017,45,42,47,37,75,41,31,15
14-11-2017,69,45,54,54,80,76,38,20
15-11-2017,60,32,61,74,99,61,39,23
16-11-2017,68,63,63,82,100,76,46,22
17-11-2017,70,64,69,84,100,100,59,22
18-11-2017,51,74,78,60,72,57,50,23
19-11-2017,25,50,49,65,91,68,40,21
20-11-2017,77,52,64,84,75,59,31,15
21-11-2017,64,59,63,72,73,64,42,20
22-11-2017,66,48,56,83,99,75,47,19
23-11-2017,66,52,58,81,100,88,50,29
24-11-2017,60,55,69,77,100,95,57,24
25-11-2017,43,68,60,76,81,65,40,22
26-11-2017,18,48,60,65,85,71,51,25
